Scenario_A,Scenario_B,Score,Text_A,Text_B
1,2,100.0,"rules of engagement, line spacing","rules of engagement, line spacing"
1,2,100.0,Informs AO. Informs if other assets are required,Informs AO. Informs if other assets are required
1,3,100.0,"rules of engagement, line spacing","rules of engagement, line spacing"
1,3,100.0,Informs AO. Informs if other assets are required,Informs AO. Informs if other assets are required
1,3,100.0,Confidence in understanding of AO,Confidence in understanding of AO
2,3,100.0,"rules of engagement, line spacing","rules of engagement, line spacing"
2,3,100.0,Informs AO. Informs if other assets are required,Informs AO. Informs if other assets are required
