PredictedParent,has_protected,has_conflict,has_cross_conflict,count
Communications And Control,False,False,False,1
Environmental And Oceanographic Conditions,False,False,False,1
Historical And Contextual Data,False,False,False,2
Mission Parameters And Objectives,False,False,False,2
Navigation And Positioning,False,False,False,10
Terrain And Bathymetry,False,False,False,4
Threats And Risk Management,False,False,False,1
Vehicle Capabilities And Constraints,False,False,False,7
uncategorised,False,False,False,6
