PredictedParent,has_protected,has_conflict,has_cross_conflict,count
Data Products And Requirements,False,False,False,1
Environmental And Oceanographic Conditions,False,False,False,6
Mission Parameters And Objectives,False,False,False,5
Navigation And Positioning,False,False,False,17
Operational Logistics,False,False,False,1
Terrain And Bathymetry,False,False,False,6
Threats And Risk Management,False,False,False,2
Vehicle Capabilities And Constraints,False,False,False,13
uncategorised,False,False,False,11
